@relation NOAA
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute Class {0,1}
@inputs attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,
@outputs Class
@data
19.8,14,1019.6,8.4,9.9,15.9,28.9,14,0
26.8,22.2,1006.2,8.1,10.9,19,34,21,0
34.6,32.9,1004.6,3.9,13.8,22,36,33.1,1
26.4,21.5,1006.9,8,18.7,30.1,39.9,16,1
14.7,7.9,1009.9,8.1,14.1,22,21,9,0
30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19,0
37.2,30.2,1012.2,10.7,8.1,17.1,50,30.9,0
36.3,30.1,1002.8,9.7,6,17.1,43,30.9,0
14.9,10.8,1025.6,8,19.8,26,32,7,0
10.4,5.3,1039.9,4.8,14.7,19,12.9,9,0
15.3,12,1038.9,2.6,9.2,10.1,19.9,9,1
17.8,11.9,1030.4,9.2,6.6,10.1,24.1,10,1
19.7,13.6,1019.1,11.8,5,10.1,37,10.9,0
23.9,20.8,1016.4,4.3,5.1,10.1,34,15.1,0
36.7,36.4,1003.8,1,6.6,15,39,34,1
18.4,12.5,1022.8,7.8,18.7,26,35.1,9,0
7,-0.1,1032.4,9.6,10.7,22,18,1,0
17.8,11.9,1018.3,7.5,10.1,22.9,23,10,0
8.5,-0.8,1031.4,8.5,12.7,22,16,0,0
10.2,2.7,1032,6.9,13.5,22,17.1,6.1,0
10.4,6.6,1023.8,5.3,9.7,15.9,18,1.9,1
4.8,-0.6,1030.1,4.4,7.2,10.1,19,-5.1,1
28.8,28.2,1018.6,0.9,9.7,18.1,34,19.9,1
6.4,0.7,1031.6,5.4,18,22,18,0,1
2.8,-2.8,1039,4.9,14.2,18.1,7,1,0
8.2,3.3,1032.6,8.1,10,13,17.1,3,0
18.6,14.8,1018,4.1,9.3,26,19.9,16,1
9,4.8,1021.8,3.5,22.1,31.1,18,1.9,0
-2.5,-9.8,1041.6,11.5,10.9,13,1.9,-8,0
-2.6,-11.8,1032.2,14.9,12.1,22.9,12,-11,0
12.1,6.8,1020.7,10.8,7.8,13,30.9,3.9,0
10.4,3.9,1029.1,11.4,8.3,17.1,21,0,0
1.3,-5.9,1032.5,9.1,11,17.1,15.1,-7.1,0
22.3,18.5,1017.2,5.1,10.3,15.9,25,10.9,1
5.6,0.2,1020.8,5.5,9.7,12,16,-5.1,0
18.1,14.5,1016.9,4.7,9,15.9,28,10.9,1
19.3,16.2,1013.6,8.1,11.5,22,28.9,9,1
20.9,15.6,1008.7,10.9,9.7,17.1,36,9,0
23.3,18,1007.5,14.2,12.8,26,34,14,0
17.7,10.5,1018.5,12.5,6.6,17.1,39,6.1,0
13,5.8,1026.7,13.8,13.1,26,30.9,-0.9,0
30.7,26,1012.9,11.6,12.9,17.1,43,19.9,0
25.3,21.9,1010.2,7.5,12,22,42.1,14,0
7.9,4,1025.1,6.2,14.7,22,12.9,3.9,0
7.5,2.8,1020.9,6.7,6.8,11.1,17.1,1.9,0
15.3,9.2,1011,10,7,12,35.1,1,0
24.8,16.1,1019.3,12.5,9.6,17.1,32,16,0
28.8,20.8,1020.8,12.5,8.3,15.9,44.1,15.1,0
38,33,1014.1,12.8,13.6,22,44.1,26.1,0
17.3,9.7,1023.5,8.7,8.5,14,25,12,0
15.1,10.1,1032.6,8.7,8.2,8.9,23,8.1,1
23.9,20,1027.5,5,3.5,8.9,30,21,1
29.4,28,1025.6,6.8,5,10.1,34,26.1,0
34.8,32.8,1019.7,8.2,9,10.1,42.1,30.9,1
33.4,29.4,1017.2,8.5,14,28,43,25,0
25.2,18.5,1028.6,9.1,7.4,17.1,37,17.1,0
33,29,1023.2,9.6,4.6,10.1,39,30,0
29.4,26.8,1024,7.6,12.8,17.1,34,26.1,0
21.6,17.3,1032.5,12.4,8.3,17.1,28,14,0
24.3,20.3,1027.9,11.1,3.5,13,37,17.1,0
35,30.5,1023.8,11.1,7.7,12,44.1,28.9,0
35.9,32.6,1022,7.2,8.5,13,42.1,30.9,1
42.3,37.3,1013.5,7.4,1.9,8.9,57.9,30.9,0
41.9,36.1,1010.4,8.3,7,13,50,34,0
36.6,31.8,1019.9,9.4,8.2,17.1,43,33.1,1
35.2,31.5,1020.8,10,8.3,22,46,28.9,0
36.2,33.5,1011.2,6.9,8.8,26,43,30.9,1
30,27.3,1019,8.6,17.6,22,35.1,25,0
26.7,20.9,1025.1,10.4,10.1,15,32,21,0
24.4,18,1025.1,10.4,7.7,13,30,18,0
30.9,25.5,1020.1,10.9,4.6,15.9,39,26.1,0
33.2,28.6,1023.1,6.3,4,11.1,37,30,1
28,23.7,1028.2,5.4,11.7,17.1,33.1,19,0
13.9,5.3,1034.3,9.5,9.6,22,24.1,7,0
27.7,21.5,1022.5,11.1,8.8,14,37,23,0
27.6,21.3,1022.7,8.4,7.9,13,36,21,0
28.6,21.8,1026.3,11.1,8,10.1,39.9,21.9,0
32.5,26.2,1025.8,9.6,10.7,20,39.9,28,0
44.7,36.7,1011.9,10.2,16.3,26,68,33.1,0
48.2,43.2,1004.4,6.2,14.2,26,62.1,37,1
